Repetition,Accuracy,Precision,Recall,F1,AUC
0,0.8543046357615894,0.6430555555555555,0.6290726817042607,0.6354258121158911,0.8350041771094403
1,0.9072847682119205,0.7592925659472423,0.7002314814814814,0.7244525547445255,0.8300925925925926
2,0.8741721854304636,0.9358108108108107,0.5681818181818181,0.5857039711191336,0.8375616631430585
3,0.8675496688741722,0.6772727272727272,0.6088516746411483,0.6299019607843137,0.8843700159489634
4,0.8543046357615894,0.9241379310344828,0.6071428571428571,0.6354258121158911,0.8353658536585367
5,0.8874172185430463,0.710431654676259,0.6540825285338016,0.6757610205886068,0.863476733977173
6,0.9006622516556292,0.7516203703703703,0.7385864793678665,0.7448462318350795,0.7910447761194029
7,0.9072847682119205,0.7212230215827338,0.6923879040667362,0.705406911928651,0.8879040667361835
8,0.8874172185430463,0.7892156862745098,0.707892882311487,0.7381947985721571,0.8629316420014095
9,0.847682119205298,0.6733500417710944,0.652014652014652,0.6614019693867603,0.7948717948717949
